,Sa,Sq,Ssk,Sku,Ssm,Sdq,pente_x,pente_y,Rk,Mr1,Mr2,Rpk,Rvk,Pk_to_Vk
28_KFR_lisse_midmoly_3.xyz,1.8460688652015496,2.2986737999313855,-0.4264237985304126,3.100617699775982,157.03497975145154,0.07585141913563093,0.09852096019307283,0.04243225155955405,6.1877789075944865,0.06318694719042665,0.8958573832596255,4.259054099854688,6.711143847142766,4.159661124295197
28_KFR_lisse_midmoly_5.xyz,2.030044729150108,2.5838411371291614,-0.13222346364489232,3.340215198493434,164.33691812475965,0.07751799294580855,0.10166876000816259,0.041006605554416334,6.402532713947211,0.08981049273508254,0.8863968519365691,6.669929177937145,7.845376154237254,5.009686778252464
28_KFR_lisse_midmoly_1.xyz,2.21274729056271,2.755548624841752,-0.2279851789629389,2.842895698719728,166.85785676577572,0.08125656659765605,0.10648156646290173,0.04320804594152885,7.27749478598571,0.08977058402705516,0.8955637031737774,4.073513018858528,7.409260403239331,4.856635945458629
28_KFR_lisse_midmoly_2.xyz,2.0495061498061387,2.63472770627535,-0.4181139741854136,3.665639006627938,154.77817627158032,0.08083408632849982,0.10678240808300682,0.04081441349720613,6.368298961141604,0.08918197312648528,0.877876919464473,6.753291623924326,9.933333275277612,4.313524073113299
28_KFR_lisse_PFA_4.xyz,1.2920040059528817,1.66717548383708,-0.5805833342972325,3.8969961741737498,108.44127236256595,0.08067272516133846,0.10389838064160899,0.04713070835416156,4.016373995639879,0.0828775469719727,0.8797402118951132,1.5419016113025705,6.59023046469538,2.938362943453452
28_KFR_lisse_PFA_5.xyz,2.1811883833072776,2.718570524604468,-0.271862681677,2.909663841027055,119.48097799083278,0.12244344380720197,0.15836241598070816,0.07004383675590596,7.175534657151008,0.07801899999999999,0.891913,9.206168624279595,7.936080079142208,4.790488704036737
28_KFR_lisse_PFA_3.xyz,1.3880271562877484,1.7657210041415656,-0.5407638158317486,3.765261695788829,121.7089782668339,0.08231306811178804,0.10524720983367399,0.049738387450522704,4.438158960622928,0.07162390844058315,0.8839819601714918,1.5531275531043036,10.374960601846226,3.1606868113148168
28_KFR_lisse_PFA_2.xyz,1.6344213739682558,2.108867589977479,-0.6818822861549243,3.93802786553759,116.93083605348141,0.10020762480649655,0.13008861845151093,0.05621465545652997,5.034434556538376,0.07566166717681869,0.8729548005305581,4.615097698926009,10.73506643538123,3.7745316808882103
28_KFR_lisse_PFA_1.xyz,2.8069538979791724,3.444070053991734,-0.2622699107027495,2.6613371440203903,141.07030186100474,0.14312849539345257,0.1884995231841079,0.07375270941837396,9.683640404556307,0.06991079185038274,0.9083751987411693,10.623011842539748,7.194263939760575,6.663163919505723
126_KFB_lisse_5.xyz,2.415115040462284,3.044220012796794,-0.2454682870535859,3.2764765789771144,219.6326623028256,0.06940897471457533,0.09256028947253683,0.032677275813894006,7.905624698966092,0.09136711617795304,0.9052230890372416,5.396031595256277,10.29624559244175,5.612378200073173
126_KFB_lisse_3.xyz,2.1447640888430493,2.586312540474505,-0.13104039295321207,2.392344395986625,207.1244170404296,0.06216889201739648,0.08415906308409139,0.025440015136578297,7.704214888299381,0.05466142706254192,0.9185033393440187,5.049671875143119,4.965223150425414,4.481735836158423
126_KFB_lisse_1.xyz,2.582645919011926,3.2039011690513846,-0.28926878764251845,2.866928790149981,230.38138997081066,0.07092028003075421,0.09347960434948142,0.03634468062792134,8.659168903499474,0.09000126008064517,0.9074917891519252,5.802000675669138,8.002852800588503,5.246212908285379
126_KFB_lisse_2.xyz,2.26794361148013,2.9316738438268564,-0.6378674085438145,4.792686797956175,228.0894741978609,0.06546981340212518,0.08690684452651468,0.03193420279672542,7.395123910337565,0.08160330190397921,0.9033122274896866,11.196906933350824,17.3963849371491,4.483839052071684
126_KFB_lisse_6.xyz,2.1517899987284266,2.7261968598890696,-0.4041791947205525,3.1695339868045025,190.0372472434763,0.0709948352995464,0.09499541339807696,0.03250238009358542,6.990947146569347,0.08268213415912647,0.8901882630925307,8.22171313910875,6.605906570154446,4.835563280131963
126_KFB_lisse_4.xyz,1.965416664795343,2.453486961495549,-0.28187983991327253,2.9242514487903404,186.24146755088262,0.06388054455317212,0.0859417082871873,0.02784727493848582,6.558172738135825,0.07383259625390219,0.8963776746227888,4.453486112775601,6.883585824867517,4.570250051578877
126_KFB_lisse_PFA_5.xyz,3.2302103956576125,4.024156724333366,-0.1965475270557629,2.9685364143918798,159.85590903317907,0.14040353459163682,0.18447107410610852,0.07346242488366782,10.938219252217305,0.08573660346745596,0.9139571728627596,8.590544094804548,10.107919301319916,7.643983167975099
126_KFB_lisse_PFA_3.xyz,2.8360894277926842,3.5470851701744266,-0.21218493435283575,3.101011866526147,160.3976336003296,0.12348779704134638,0.1602467560631926,0.06942225297030599,9.412902401922228,0.08102538773890831,0.8992324166325923,10.239289586373886,11.79976594879644,5.686459329813142
126_KFB_lisse_PFA_4.xyz,2.9917663157036505,3.742401034667226,-0.1674597832811573,2.9895107235262643,153.414240248849,0.1348728811065815,0.17227282919198986,0.08187466298048274,9.87542212945434,0.09082234488813737,0.9032654380202915,9.300365013852367,14.654823305424326,6.063834655953195
126_KFB_lisse_PFA_2.xyz,2.530564734771061,3.184295179723928,-0.24220823744616202,3.1216371260632574,147.8830120869047,0.12264553790329545,0.1579459119356165,0.07167248312988636,8.238451117211332,0.08420037326575146,0.8940281528203426,6.233363123896881,11.199273396104338,5.456823344266548
126_KFB_lisse_PFA_1.xyz,2.497853066350457,3.204448551216033,-0.4188983845621487,3.9673393590263593,149.86716828541975,0.11895307339777624,0.15387406131931303,0.0679885328173345,7.944089792451512,0.090885,0.891452,6.816186749616507,12.715274224633202,5.509142881592689
126_KFR_lisse_2.xyz,1.4143074255742414,1.7795776605517168,-0.11941349430550685,3.220501415082448,157.34807978780117,0.05340896872847188,0.07282820099126525,0.020027207035771277,4.641344983930091,0.08653088960016257,0.9014240291960913,2.0224609710729937,8.270759680235956,3.425886600311517
126_KFR_lisse_4.xyz,1.6629341846295296,2.0537394064719883,-0.4606677083910349,2.935088560298961,179.04547545973557,0.05396284772458786,0.0742707489384786,0.017545190828588755,5.496828297775817,0.0573009280428119,0.8819719639621331,2.3685635144343924,6.862428127926714,4.0003711126785735
126_KFR_lisse_1.xyz,1.7967419521299415,2.207282255542929,-0.47051766931778766,3.059746712700282,163.29283311785863,0.07032592944611565,0.09504255943267041,0.029298201333996337,6.390849574143839,0.047568104805897765,0.9173785165722707,1.1706643271784811,7.054832306542675,4.992366066301359
126_KFR_lisse_3.xyz,1.3225003067559031,1.6796087333599554,-0.42374534356813476,3.476849633005894,147.73972076443314,0.055367093534088044,0.0746484127711822,0.023635662960198756,4.264508054135156,0.09011054378566953,0.8970854713881691,3.2675830580393344,7.928887309684734,3.1517097629899404
126_KFR_lisse_5.xyz,1.4259088869466765,1.8026512344900227,-0.36482894591344156,3.203657433673383,156.82471831942124,0.05619208015160865,0.07731020806652072,0.018391070448478465,4.612736797274873,0.08845196362343138,0.8939524801436095,2.9278967668033333,5.501647978369512,3.6466097065598366
126_KFR_lisse_842SM_3.xyz,2.973921433635994,3.7307258456853982,-0.3217950870961744,3.2411985717075265,172.86742079851822,0.13049608894053474,0.1676974108975493,0.07704568018916057,9.879660279838006,0.080288849578247,0.9007489931875494,15.262178234038535,12.21559714274114,6.421604079231582
126_KFR_lisse_842SM_2.xyz,2.8149229869659713,3.56417403867741,-0.3798754850948905,3.370580234042337,160.8446765166009,0.13027779092149633,0.16747158668649317,0.07679761238136655,9.235164045604327,0.09056705186777747,0.9046921190540177,7.223408535926746,14.168155173021812,5.8513599111283545
126_KFR_lisse_842SM_4.xyz,2.9019174576899576,3.6535932256482564,-0.16606422290258277,2.9808243745654353,156.24614417716703,0.1347268553151023,0.1735125183065354,0.07871503717281236,9.2970036264008,0.09278252432868715,0.8870247698863756,8.24655779738256,10.96375403706962,5.785977984134145
126_KFR_lisse_842SM_1.xyz,2.9319438936626563,3.65699853137387,-0.24362999701490115,2.9497453183764915,153.96568797315686,0.1360226801696221,0.17543146895998643,0.07891855763757928,9.76014945894669,0.08702706997712456,0.9030825398020249,10.180925234876272,12.005999764297517,6.175851199464616
